item_id,condition,position,length,sentiment,judge,score
11,first_normal_neutral,first,normal,neutral,claude,3.61
11,first_normal_positive,first,normal,positive,claude,3.4
11,first_long_negative,first,long,negative,claude,3.28
11,first_long_neutral,first,long,neutral,claude,3.56
11,first_long_positive,first,long,positive,claude,3.51
11,second_short_negative,second,short,negative,claude,3.25
11,second_short_neutral,second,short,neutral,claude,2.61
11,second_short_positive,second,short,positive,claude,3.89
11,second_normal_negative,second,normal,negative,claude,3.28
11,second_normal_neutral,second,normal,neutral,claude,3.9
11,second_normal_positive,second,normal,positive,claude,3.13
11,second_long_negative,second,long,negative,claude,3.46
11,second_long_neutral,second,long,neutral,claude,4.37
11,second_long_positive,second,long,positive,claude,3.21
12,first_short_negative,first,short,negative,claude,2.96
12,first_short_neutral,first,short,neutral,claude,3.3
12,first_short_positive,first,short,positive,claude,3.65
12,first_normal_negative,first,normal,negative,claude,3.66
12,first_normal_neutral,first,normal,neutral,claude,3.89
12,first_normal_positive,first,normal,positive,claude,3.47
12,first_long_negative,first,long,negative,claude,3.01
12,first_long_neutral,first,long,neutral,claude,3.41
12,first_long_positive,first,long,positive,claude,3.96
12,second_short_negative,second,short,negative,claude,3.33
12,second_short_neutral,second,short,neutral,claude,2.65
12,second_short_positive,second,short,positive,claude,3.28
12,second_normal_negative,second,normal,negative,claude,3.75
12,second_normal_neutral,second,normal,neutral,claude,4.02
12,second_normal_positive,second,normal,positive,claude,3.6
12,second_long_negative,second,long,negative,claude,3.46
12,second_long_neutral,second,long,neutral,claude,3.05
12,second_long_positive,second,long,positive,claude,3.22
13,first_short_negative,first,short,negative,claude,3.42
13,first_short_neutral,first,short,neutral,claude,3.61
13,first_short_positive,first,short,positive,claude,3.68
13,first_normal_negative,first,normal,negative,claude,3.31
13,first_normal_neutral,first,normal,neutral,claude,3.15
13,first_normal_positive,first,normal,positive,claude,3.32
13,first_long_negative,first,long,negative,claude,3.14
13,first_long_neutral,first,long,neutral,claude,3.73
13,first_long_positive,first,long,positive,claude,2.9
13,second_short_negative,second,short,negative,claude,3.09
13,second_short_neutral,second,short,neutral,claude,3.37
13,second_short_positive,second,short,positive,claude,3.75
13,second_normal_negative,second,normal,negative,claude,3.35
13,second_normal_neutral,second,normal,neutral,claude,3.68
13,second_normal_positive,second,normal,positive,claude,3.31
13,second_long_negative,second,long,negative,claude,3.15
13,second_long_neutral,second,long,neutral,claude,3.22
13,second_long_positive,second,long,positive,claude,3.93
14,first_short_negative,first,short,negative,claude,3.71
14,first_short_neutral,first,short,neutral,claude,3.61
14,first_short_positive,first,short,positive,claude,4.51
14,first_normal_negative,first,normal,negative,claude,3.44
14,first_normal_neutral,first,normal,neutral,claude,3.69
14,first_normal_positive,first,normal,positive,claude,3.64
14,first_long_negative,first,long,negative,claude,3.42
14,first_long_neutral,first,long,neutral,claude,4.23
14,first_long_positive,first,long,positive,claude,4.04
14,second_short_negative,second,short,negative,claude,2.77
14,second_short_neutral,second,short,neutral,claude,3.12
14,second_short_positive,second,short,positive,claude,3.42
14,second_normal_negative,second,normal,negative,claude,3.56
14,second_normal_neutral,second,normal,neutral,claude,2.98
14,second_normal_positive,second,normal,positive,claude,2.75
14,second_long_negative,second,long,negative,claude,2.8
14,second_long_neutral,second,long,neutral,claude,3.4
14,second_long_positive,second,long,positive,claude,3.44
15,first_short_negative,first,short,negative,claude,3.51
15,first_short_neutral,first,short,neutral,claude,3.23
15,first_short_positive,first,short,positive,claude,3.14
15,first_normal_negative,first,normal,negative,claude,2.84
15,first_normal_neutral,first,normal,neutral,claude,3.6
15,first_normal_positive,first,normal,positive,claude,3.66
15,first_long_negative,first,long,negative,claude,3.79
15,first_long_neutral,first,long,neutral,claude,3.78
15,first_long_positive,first,long,positive,claude,3.53
15,second_short_negative,second,short,negative,claude,3.59
15,second_short_neutral,second,short,neutral,claude,3.2
15,second_short_positive,second,short,positive,claude,3.09
15,second_normal_negative,second,normal,negative,claude,3.17
15,second_normal_neutral,second,normal,neutral,claude,3.2
15,second_normal_positive,second,normal,positive,claude,2.78
15,second_long_negative,second,long,negative,claude,3.42
15,second_long_neutral,second,long,neutral,claude,3.49
15,second_long_positive,second,long,positive,claude,3.36
16,first_short_negative,first,short,negative,claude,3.2
16,first_short_neutral,first,short,neutral,claude,3.57
16,first_short_positive,first,short,positive,claude,4.03
16,first_normal_negative,first,normal,negative,claude,3.46
16,first_normal_neutral,first,normal,neutral,claude,3.35
16,first_normal_positive,first,normal,positive,claude,3.37
16,first_long_negative,first,long,negative,claude,3.47
16,first_long_neutral,first,long,neutral,claude,3.16
16,first_long_positive,first,long,positive,claude,3.55
16,second_short_negative,second,short,negative,claude,3.21
16,second_short_neutral,second,short,neutral,claude,3.79
16,second_short_positive,second,short,positive,claude,3.57
16,second_normal_negative,second,normal,negative,claude,3.64
16,second_normal_neutral,second,normal,neutral,claude,3.17
16,second_normal_positive,second,normal,positive,claude,3.63
16,second_long_negative,second,long,negative,claude,3.03
16,second_long_neutral,second,long,neutral,claude,3.51
16,second_long_positive,second,long,positive,claude,3.6
17,first_short_negative,first,short,negative,claude,3.18
17,first_short_neutral,first,short,neutral,claude,4.06
17,first_short_positive,first,short,positive,claude,3.68
17,first_normal_negative,first,normal,negative,claude,2.88
17,first_normal_neutral,first,normal,neutral,claude,3.67
17,first_normal_positive,first,normal,positive,claude,3.43
17,first_long_negative,first,long,negative,claude,3.49
17,first_long_neutral,first,long,neutral,claude,3.68
17,first_long_positive,first,long,positive,claude,3.71
17,second_short_negative,second,short,negative,claude,2.58
17,second_short_neutral,second,short,neutral,claude,2.89
17,second_short_positive,second,short,positive,claude,3.52
17,second_normal_negative,second,normal,negative,claude,3.72
17,second_normal_neutral,second,normal,neutral,claude,3.95
17,second_normal_positive,second,normal,positive,claude,3.97
17,second_long_negative,second,long,negative,claude,2.75
17,second_long_neutral,second,long,neutral,claude,3.65
17,second_long_positive,second,long,positive,claude,2.9
18,first_short_negative,first,short,negative,claude,3.89
18,first_short_neutral,first,short,neutral,claude,3.54
18,first_short_positive,first,short,positive,claude,3.17
18,first_normal_negative,first,normal,negative,claude,4.05
18,first_normal_neutral,first,normal,neutral,claude,3.69
18,first_normal_positive,first,normal,positive,claude,2.98
18,first_long_negative,first,long,negative,claude,3.58
18,first_long_neutral,first,long,neutral,claude,3.32
18,first_long_positive,first,long,positive,claude,3.62
18,second_short_negative,second,short,negative,claude,3.05
18,second_short_neutral,second,short,neutral,claude,3.65
18,second_short_positive,second,short,positive,claude,2.86
18,second_normal_negative,second,normal,negative,claude,3.43
18,second_normal_neutral,second,normal,neutral,claude,3.92
18,second_normal_positive,second,normal,positive,claude,3.18
18,second_long_negative,second,long,negative,claude,3.43
18,second_long_neutral,second,long,neutral,claude,3.48
18,second_long_positive,second,long,positive,claude,3.26
19,first_short_negative,first,short,negative,claude,3.6
19,first_short_neutral,first,short,neutral,claude,3.49
19,first_short_positive,first,short,positive,claude,3.23
19,first_normal_negative,first,normal,negative,claude,3.98
19,first_normal_neutral,first,normal,neutral,claude,3.74
19,first_normal_positive,first,normal,positive,claude,3.5
19,first_long_negative,first,long,negative,claude,3.3
19,first_long_neutral,first,long,neutral,claude,3.3
19,first_long_positive,first,long,positive,claude,3.96
19,second_short_negative,second,short,negative,claude,3.15
19,second_short_neutral,second,short,neutral,claude,3.38
19,second_short_positive,second,short,positive,claude,3.23
19,second_normal_negative,second,normal,negative,claude,3.51
19,second_normal_neutral,second,normal,neutral,claude,3.35
19,second_normal_positive,second,normal,positive,claude,3.66
19,second_long_negative,second,long,negative,claude,3.32
19,second_long_neutral,second,long,neutral,claude,3.67
19,second_long_positive,second,long,positive,claude,3.67
20,first_short_negative,first,short,negative,claude,3.38
20,first_short_neutral,first,short,neutral,claude,3.2
20,first_short_positive,first,short,positive,claude,3.23
20,first_normal_negative,first,normal,negative,claude,3.23
20,first_normal_neutral,first,normal,neutral,claude,3.2
20,first_normal_positive,first,normal,positive,claude,3.81
20,first_long_negative,first,long,negative,claude,3.48
20,first_long_neutral,first,long,neutral,claude,4.01
20,first_long_positive,first,long,positive,claude,4.27
20,second_short_negative,second,short,negative,claude,3.2
20,second_short_neutral,second,short,neutral,claude,2.78
20,second_short_positive,second,short,positive,claude,3.18
20,second_normal_negative,second,normal,negative,claude,3.31
20,second_normal_neutral,second,normal,neutral,claude,2.93
20,second_normal_positive,second,normal,positive,claude,3.35
20,second_long_negative,second,long,negative,claude,3.46
20,second_long_neutral,second,long,neutral,claude,3.28
20,second_long_positive,second,long,positive,claude,3.24
21,first_short_negative,first,short,negative,claude,3.18
21,first_short_neutral,first,short,neutral,claude,4.0
21,first_short_positive,first,short,positive,claude,3.46
21,first_normal_negative,first,normal,negative,claude,3.2
21,first_normal_neutral,first,normal,neutral,claude,3.39
21,first_normal_positive,first,normal,positive,claude,3.84
21,first_long_negative,first,long,negative,claude,3.28
21,first_long_neutral,first,long,neutral,claude,3.68
21,first_long_positive,first,long,positive,claude,3.81
21,second_short_negative,second,short,negative,claude,3.41
21,second_short_neutral,second,short,neutral,claude,3.66
21,second_short_positive,second,short,positive,claude,3.12
21,second_normal_negative,second,normal,negative,claude,3.67
21,second_normal_neutral,second,normal,neutral,claude,3.14
21,second_normal_positive,second,normal,positive,claude,3.31
21,second_long_negative,second,long,negative,claude,3.73
21,second_long_neutral,second,long,neutral,claude,3.67
21,second_long_positive,second,long,positive,claude,3.47
22,first_short_negative,first,short,negative,claude,3.05
22,first_short_neutral,first,short,neutral,claude,3.63
22,first_short_positive,first,short,positive,claude,3.32
22,first_normal_negative,first,normal,negative,claude,3.17
22,first_normal_neutral,first,normal,neutral,claude,3.31
22,first_normal_positive,first,normal,positive,claude,3.62
22,first_long_negative,first,long,negative,claude,2.85
22,first_long_neutral,first,long,neutral,claude,3.65
22,first_long_positive,first,long,positive,claude,3.64
22,second_short_negative,second,short,negative,claude,3.01
22,second_short_neutral,second,short,neutral,claude,3.55
22,second_short_positive,second,short,positive,claude,3.47
22,second_normal_negative,second,normal,negative,claude,3.15
22,second_normal_neutral,second,normal,neutral,claude,3.18
22,second_normal_positive,second,normal,positive,claude,3.64
22,second_long_negative,second,long,negative,claude,2.92
22,second_long_neutral,second,long,neutral,claude,3.32
22,second_long_positive,second,long,positive,claude,3.28
23,first_short_negative,first,short,negative,claude,3.43
23,first_short_neutral,first,short,neutral,claude,3.52
23,first_short_positive,first,short,positive,claude,3.52
23,first_normal_negative,first,normal,negative,claude,3.79
23,first_normal_neutral,first,normal,neutral,claude,3.57
23,first_normal_positive,first,normal,positive,claude,3.46
23,first_long_negative,first,long,negative,claude,3.13
23,first_long_neutral,first,long,neutral,claude,3.76
23,first_long_positive,first,long,positive,claude,3.75
23,second_short_negative,second,short,negative,claude,3.63
23,second_short_neutral,second,short,neutral,claude,3.02
23,second_short_positive,second,short,positive,claude,3.3
23,second_normal_negative,second,normal,negative,claude,3.31
23,second_normal_neutral,second,normal,neutral,claude,3.35
23,second_normal_positive,second,normal,positive,claude,3.43
23,second_long_negative,second,long,negative,claude,2.86
23,second_long_neutral,second,long,neutral,claude,3.67
23,second_long_positive,second,long,positive,claude,3.67
24,first_short_negative,first,short,negative,claude,3.75
24,first_short_neutral,first,short,neutral,claude,4.13
24,first_short_positive,first,short,positive,claude,3.41
24,first_normal_negative,first,normal,negative,claude,3.44
24,first_normal_neutral,first,normal,neutral,claude,3.5
24,first_normal_positive,first,normal,positive,claude,4.13
24,first_long_negative,first,long,negative,claude,2.97
24,first_long_neutral,first,long,neutral,claude,3.69
24,first_long_positive,first,long,positive,claude,3.15
24,second_short_negative,second,short,negative,claude,2.42
24,second_short_neutral,second,short,neutral,claude,2.63
24,second_short_positive,second,short,positive,claude,2.88
24,second_normal_negative,second,normal,negative,claude,3.65
24,second_normal_neutral,second,normal,neutral,claude,3.12
24,second_normal_positive,second,normal,positive,claude,3.36
24,second_long_negative,second,long,negative,claude,3.02
24,second_long_neutral,second,long,neutral,claude,3.6
24,second_long_positive,second,long,positive,claude,3.14
25,first_short_negative,first,short,negative,claude,3.81
25,first_short_neutral,first,short,neutral,claude,3.16
25,first_short_positive,first,short,positive,claude,3.28
25,first_normal_negative,first,normal,negative,claude,3.49
25,first_normal_neutral,first,normal,neutral,claude,3.51
25,first_normal_positive,first,normal,positive,claude,3.98
25,first_long_negative,first,long,negative,claude,3.53
25,first_long_neutral,first,long,neutral,claude,3.18
25,first_long_positive,first,long,positive,claude,3.42
25,second_short_negative,second,short,negative,claude,3.02
25,second_short_neutral,second,short,neutral,claude,3.46
25,second_short_positive,second,short,positive,claude,3.41
25,second_normal_negative,second,normal,negative,claude,3.29
25,second_normal_neutral,second,normal,neutral,claude,3.64
25,second_normal_positive,second,normal,positive,claude,3.27
25,second_long_negative,second,long,negative,claude,3.33
25,second_long_neutral,second,long,neutral,claude,3.47
25,second_long_positive,second,long,positive,claude,3.93
26,first_short_negative,first,short,negative,claude,3.38
26,first_short_neutral,first,short,neutral,claude,3.35
26,first_short_positive,first,short,positive,claude,3.2
26,first_normal_negative,first,normal,negative,claude,3.66
26,first_normal_neutral,first,normal,neutral,claude,3.32
26,first_normal_positive,first,normal,positive,claude,3.65
26,first_long_negative,first,long,negative,claude,2.92
26,first_long_neutral,first,long,neutral,claude,3.85
26,first_long_positive,first,long,positive,claude,3.19
26,second_short_negative,second,short,negative,claude,2.96
26,second_short_neutral,second,short,neutral,claude,3.56
26,second_short_positive,second,short,positive,claude,2.89
26,second_normal_negative,second,normal,negative,claude,3.31
26,second_normal_neutral,second,normal,neutral,claude,3.4
26,second_normal_positive,second,normal,positive,claude,3.13
26,second_long_negative,second,long,negative,claude,3.77
26,second_long_neutral,second,long,neutral,claude,3.87
26,second_long_positive,second,long,positive,claude,2.88
27,first_short_negative,first,short,negative,claude,2.98
27,first_short_neutral,first,short,neutral,claude,3.7
27,first_short_positive,first,short,positive,claude,3.12
27,first_normal_negative,first,normal,negative,claude,3.33
27,first_normal_neutral,first,normal,neutral,claude,3.54
27,first_normal_positive,first,normal,positive,claude,3.76
27,first_long_negative,first,long,negative,claude,3.42
27,first_long_neutral,first,long,neutral,claude,3.57
27,first_long_positive,first,long,positive,claude,3.36
27,second_short_negative,second,short,negative,claude,3.58
27,second_short_neutral,second,short,neutral,claude,3.09
27,second_short_positive,second,short,positive,claude,3.39
27,second_normal_negative,second,normal,negative,claude,3.18
27,second_normal_neutral,second,normal,neutral,claude,3.41
27,second_normal_positive,second,normal,positive,claude,3.38
27,second_long_negative,second,long,negative,claude,3.32
27,second_long_neutral,second,long,neutral,claude,3.12
27,second_long_positive,second,long,positive,claude,3.71
28,first_short_negative,first,short,negative,claude,3.83
28,first_short_neutral,first,short,neutral,claude,3.53
28,first_short_positive,first,short,positive,claude,3.73
28,first_normal_negative,first,normal,negative,claude,3.7
28,first_normal_neutral,first,normal,neutral,claude,3.78
28,first_normal_positive,first,normal,positive,claude,3.64
28,first_long_negative,first,long,negative,claude,3.55
28,first_long_neutral,first,long,neutral,claude,3.8
28,first_long_positive,first,long,positive,claude,3.61
28,second_short_negative,second,short,negative,claude,2.9
28,second_short_neutral,second,short,neutral,claude,3.25
28,second_short_positive,second,short,positive,claude,2.72
28,second_normal_negative,second,normal,negative,claude,3.33
28,second_normal_neutral,second,normal,neutral,claude,3.5
28,second_normal_positive,second,normal,positive,claude,3.8
28,second_long_negative,second,long,negative,claude,3.42
28,second_long_neutral,second,long,neutral,claude,3.7
28,second_long_positive,second,long,positive,claude,3.47
29,first_short_negative,first,short,negative,claude,3.1
29,first_short_neutral,first,short,neutral,claude,3.04
29,first_short_positive,first,short,positive,claude,3.22
29,first_normal_negative,first,normal,negative,claude,3.04
29,first_normal_neutral,first,normal,neutral,claude,3.69
29,first_normal_positive,first,normal,positive,claude,3.49
29,first_long_negative,first,long,negative,claude,3.66
29,first_long_neutral,first,long,neutral,claude,3.56
29,first_long_positive,first,long,positive,claude,3.9
29,second_short_negative,second,short,negative,claude,3.51
29,second_short_neutral,second,short,neutral,claude,3.05
29,second_short_positive,second,short,positive,claude,3.21
29,second_normal_negative,second,normal,negative,claude,3.17
29,second_normal_neutral,second,normal,neutral,claude,2.89
29,second_normal_positive,second,normal,positive,claude,3.63
29,second_long_negative,second,long,negative,claude,3.73
29,second_long_neutral,second,long,neutral,claude,3.42
29,second_long_positive,second,long,positive,claude,3.32
30,first_short_negative,first,short,negative,claude,3.74
30,first_short_neutral,first,short,neutral,claude,2.76
30,first_short_positive,first,short,positive,claude,3.56
30,first_normal_negative,first,normal,negative,claude,3.49
30,first_normal_neutral,first,normal,neutral,claude,3.33
30,first_normal_positive,first,normal,positive,claude,3.97
30,first_long_negative,first,long,negative,claude,3.78
30,first_long_neutral,first,long,neutral,claude,3.46
30,first_long_positive,first,long,positive,claude,3.56
30,second_short_negative,second,short,negative,claude,3.07
30,second_short_neutral,second,short,neutral,claude,3.09
30,second_short_positive,second,short,positive,claude,2.9
30,second_normal_negative,second,normal,negative,claude,3.74
30,second_normal_neutral,second,normal,neutral,claude,3.69
30,second_normal_positive,second,normal,positive,claude,3.67
30,second_long_negative,second,long,negative,claude,3.04
30,second_long_neutral,second,long,neutral,claude,4.04
30,second_long_positive,second,long,positive,claude,4.06
31,first_short_negative,first,short,negative,claude,3.47
31,first_short_neutral,first,short,neutral,claude,3.19
31,first_short_positive,first,short,positive,claude,3.25
31,first_normal_negative,first,normal,negative,claude,3.58
31,first_normal_neutral,first,normal,neutral,claude,3.23
31,first_normal_positive,first,normal,positive,claude,3.54
31,first_long_negative,first,long,negative,claude,3.82
31,first_long_neutral,first,long,neutral,claude,3.09
31,first_long_positive,first,long,positive,claude,4.19
31,second_short_negative,second,short,negative,claude,3.66
31,second_short_neutral,second,short,neutral,claude,2.87
31,second_short_positive,second,short,positive,claude,2.87
31,second_normal_negative,second,normal,negative,claude,3.24
31,second_normal_neutral,second,normal,neutral,claude,3.07
31,second_normal_positive,second,normal,positive,claude,3.35
