judge,item_id,condition,position,length,sentiment,score,repeat_num,corrected_score,method
claude,5,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,5,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,5,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,5,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,5,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,6,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,6,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,6,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,6,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,6,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,6,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,6,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,6,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,7,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,7,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,7,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,7,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,7,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,7,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,7,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,7,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,8,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,8,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,8,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,8,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,8,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,8,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,8,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,8,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,9,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,9,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,9,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,9,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,9,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,9,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,9,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,9,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,10,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,10,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,10,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,10,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,10,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,10,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,10,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,10,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,11,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,11,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,11,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,11,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,11,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,11,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,11,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,11,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,12,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,12,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,12,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,12,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,12,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,12,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,12,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,12,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,13,baseline,first,normal,neutral,3.0,1,3.2,consensus
claude,13,short_response,first,short,neutral,3.0,1,3.2,consensus
claude,13,verbose_response,first,long,neutral,3.0,1,3.2,consensus
claude,13,positive_tone,first,normal,positive,3.0,1,3.2,consensus
claude,13,negative_tone,first,normal,negative,3.0,1,3.2,consensus
claude,13,disfavored_pos,second,normal,neutral,3.0,1,3.2,consensus
claude,13,worst_case,second,short,negative,3.0,1,3.2,consensus
claude,13,best_biased,second,long,positive,3.0,1,3.2,consensus
claude,14,baseline,first,normal,neutral,4.0,1,3.9,consensus
claude,14,short_response,first,short,neutral,3.0,1,3.2,consensus
claude,14,verbose_response,first,long,neutral,4.0,1,3.9,consensus
claude,14,positive_tone,first,normal,positive,4.0,1,3.9,consensus
claude,14,negative_tone,first,normal,negative,3.0,1,3.2,consensus
claude,14,disfavored_pos,second,normal,neutral,3.0,1,3.2,consensus
claude,14,worst_case,second,short,negative,3.0,1,3.2,consensus
claude,14,best_biased,second,long,positive,4.0,1,3.9,consensus
claude,15,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,15,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,15,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,15,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,15,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,15,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,15,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,15,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,16,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,16,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,16,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,16,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,16,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,16,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,16,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,16,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,17,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,17,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,17,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,17,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,17,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,17,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,17,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,17,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,18,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,18,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,18,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,18,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,18,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,18,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,18,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,18,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,19,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,19,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,19,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,19,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,19,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,19,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,19,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,19,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,20,baseline,first,normal,neutral,3.0,1,3.2,consensus
claude,20,short_response,first,short,neutral,4.0,1,3.9,consensus
claude,20,verbose_response,first,long,neutral,3.0,1,3.2,consensus
claude,20,positive_tone,first,normal,positive,3.0,1,3.2,consensus
claude,20,negative_tone,first,normal,negative,3.0,1,3.2,consensus
claude,20,disfavored_pos,second,normal,neutral,3.0,1,3.2,consensus
claude,20,worst_case,second,short,negative,3.0,1,3.2,consensus
claude,20,best_biased,second,long,positive,4.0,1,3.9,consensus
claude,21,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,21,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,21,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,21,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,21,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,21,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,21,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,21,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,22,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,22,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,22,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,22,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,22,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,22,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,22,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,22,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,23,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,23,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,23,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,23,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,23,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,23,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,23,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,23,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,24,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,24,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,24,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,24,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,24,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,24,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,24,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,24,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,25,baseline,first,normal,neutral,4.0,1,3.9,consensus
claude,25,short_response,first,short,neutral,4.0,1,3.9,consensus
claude,25,verbose_response,first,long,neutral,4.0,1,3.9,consensus
claude,25,positive_tone,first,normal,positive,4.0,1,3.9,consensus
claude,25,negative_tone,first,normal,negative,3.0,1,3.2,consensus
claude,25,disfavored_pos,second,normal,neutral,3.0,1,3.2,consensus
claude,25,worst_case,second,short,negative,3.0,1,3.2,consensus
claude,25,best_biased,second,long,positive,4.0,1,3.9,consensus
claude,26,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,26,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,26,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,26,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,26,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,26,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,26,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,26,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,27,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,27,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,27,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,27,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,27,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,27,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,27,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,27,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,28,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,28,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,28,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,28,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,28,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,28,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,28,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,28,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,29,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,29,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,29,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,29,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,29,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,29,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,29,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,29,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,30,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,30,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,30,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,30,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,30,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,30,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,30,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,30,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,31,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,31,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,31,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,31,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,31,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,31,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,31,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,31,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,32,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,32,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,32,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,32,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,32,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,32,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,32,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,32,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,33,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,33,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,33,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,33,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,33,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,33,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,33,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,33,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,34,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,34,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,34,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,34,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,34,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,34,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,34,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,34,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,35,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,35,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,35,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,35,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,35,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,35,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,35,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,35,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,36,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,36,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,36,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,36,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,36,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,36,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,36,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,36,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,37,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,37,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,37,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,37,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,37,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,37,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,37,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,37,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,38,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,38,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,38,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,38,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,38,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,38,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,38,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,38,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,39,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,39,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,39,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,39,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,39,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,39,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,39,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,39,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,40,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,40,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,40,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,40,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,40,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,40,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,40,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,40,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,41,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,41,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,41,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,41,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,41,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,41,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,41,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,41,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,42,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,42,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,42,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,42,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,42,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,42,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,42,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,42,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,43,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,43,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,43,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,43,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,43,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,43,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,43,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,43,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,44,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,44,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,44,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,44,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,44,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,44,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,44,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,44,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,45,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,45,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,45,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,45,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,45,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,45,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,45,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,45,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,46,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,46,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,46,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,46,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,46,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,46,disfavored_pos,second,normal,neutral,4.0,1,3.8,consensus
claude,46,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,46,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,47,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,47,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,47,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,47,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,47,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,47,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,47,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,47,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,48,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,48,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,48,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,48,positive_tone,first,normal,positive,3.0,1,3.1,consensus
claude,48,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,48,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,48,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,48,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,49,baseline,first,normal,neutral,4.0,1,3.7,consensus
claude,49,short_response,first,short,neutral,4.0,1,3.7,consensus
claude,49,verbose_response,first,long,neutral,4.0,1,3.7,consensus
claude,49,positive_tone,first,normal,positive,4.0,1,3.7,consensus
claude,49,negative_tone,first,normal,negative,3.0,1,3.0,consensus
claude,49,disfavored_pos,second,normal,neutral,3.0,1,3.0,consensus
claude,49,worst_case,second,short,negative,3.0,1,3.0,consensus
claude,49,best_biased,second,long,positive,4.0,1,3.7,consensus
claude,50,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,50,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,50,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,50,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,50,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,50,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,50,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,50,best_biased,second,long,positive,3.0,1,3.1,consensus
claude,51,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,51,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,51,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,51,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,51,negative_tone,first,normal,negative,4.0,1,3.8,consensus
claude,51,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,51,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,51,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,52,baseline,first,normal,neutral,3.0,1,3.1,consensus
claude,52,short_response,first,short,neutral,4.0,1,3.8,consensus
claude,52,verbose_response,first,long,neutral,3.0,1,3.1,consensus
claude,52,positive_tone,first,normal,positive,4.0,1,3.8,consensus
claude,52,negative_tone,first,normal,negative,3.0,1,3.1,consensus
claude,52,disfavored_pos,second,normal,neutral,3.0,1,3.1,consensus
claude,52,worst_case,second,short,negative,3.0,1,3.1,consensus
claude,52,best_biased,second,long,positive,4.0,1,3.8,consensus
claude,53,baseline,first,normal,neutral,4.0,1,3.8,consensus
claude,53,short_response,first,short,neutral,3.0,1,3.1,consensus
claude,53,verbose_response,first,long,neutral,4.0,1,3.8,consensus
claude,53,positive_tone,first,normal,positive,4.0,1,3.8,consensus
