item_id,judge,position,length,sentiment,condition,score
24,claude,second,short,negative,worst,3.7
24,claude,second,long,positive,best_biased,3.5
25,claude,first,normal,neutral,baseline,4.2
25,claude,first,short,neutral,short,3.2
25,claude,first,long,neutral,verbose,3.7
25,claude,first,normal,positive,positive,3.4
25,claude,first,normal,negative,negative,3.2
25,claude,second,normal,neutral,disfavored,3.4
25,claude,second,short,negative,worst,3.0
25,claude,second,long,positive,best_biased,3.6
26,claude,first,normal,neutral,baseline,2.9
26,claude,first,short,neutral,short,4.0
26,claude,first,long,neutral,verbose,3.5
26,claude,first,normal,positive,positive,4.1
26,claude,first,normal,negative,negative,3.1
26,claude,second,normal,neutral,disfavored,3.5
26,claude,second,short,negative,worst,4.1
26,claude,second,long,positive,best_biased,3.3
27,claude,first,normal,neutral,baseline,3.1
27,claude,first,short,neutral,short,3.2
27,claude,first,long,neutral,verbose,3.7
27,claude,first,normal,positive,positive,3.8
27,claude,first,normal,negative,negative,3.8
27,claude,second,normal,neutral,disfavored,3.3
27,claude,second,short,negative,worst,2.6
27,claude,second,long,positive,best_biased,3.4
28,claude,first,normal,neutral,baseline,3.9
28,claude,first,short,neutral,short,3.5
28,claude,first,long,neutral,verbose,3.0
28,claude,first,normal,positive,positive,3.6
28,claude,first,normal,negative,negative,3.8
28,claude,second,normal,neutral,disfavored,4.0
28,claude,second,short,negative,worst,3.3
28,claude,second,long,positive,best_biased,3.6
29,claude,first,normal,neutral,baseline,3.1
29,claude,first,short,neutral,short,3.1
29,claude,first,long,neutral,verbose,3.6
29,claude,first,normal,positive,positive,3.7
29,claude,first,normal,negative,negative,3.6
29,claude,second,normal,neutral,disfavored,3.2
29,claude,second,short,negative,worst,2.8
29,claude,second,long,positive,best_biased,3.3
30,claude,first,normal,neutral,baseline,3.2
30,claude,first,short,neutral,short,3.6
30,claude,first,long,neutral,verbose,2.9
30,claude,first,normal,positive,positive,3.5
30,claude,first,normal,negative,negative,3.6
30,claude,second,normal,neutral,disfavored,3.8
30,claude,second,short,negative,worst,3.1
30,claude,second,long,positive,best_biased,3.8
31,claude,first,normal,neutral,baseline,3.4
31,claude,first,short,neutral,short,3.1
31,claude,first,long,neutral,verbose,3.4
31,claude,first,normal,positive,positive,4.0
31,claude,first,normal,negative,negative,3.7
31,claude,second,normal,neutral,disfavored,3.5
31,claude,second,short,negative,worst,4.1
31,claude,second,long,positive,best_biased,3.5
32,claude,first,normal,neutral,baseline,3.7
32,claude,first,short,neutral,short,3.5
32,claude,first,long,neutral,verbose,3.5
32,claude,first,normal,positive,positive,4.3
32,claude,first,normal,negative,negative,3.9
32,claude,second,normal,neutral,disfavored,3.0
32,claude,second,short,negative,worst,3.0
32,claude,second,long,positive,best_biased,3.7
33,claude,first,normal,neutral,baseline,3.7
33,claude,first,short,neutral,short,3.0
33,claude,first,long,neutral,verbose,2.9
33,claude,first,normal,positive,positive,3.0
33,claude,first,normal,negative,negative,3.4
33,claude,second,normal,neutral,disfavored,3.3
33,claude,second,short,negative,worst,3.2
33,claude,second,long,positive,best_biased,3.3
34,claude,first,normal,neutral,baseline,3.1
34,claude,first,short,neutral,short,2.8
34,claude,first,long,neutral,verbose,3.7
34,claude,first,normal,positive,positive,3.7
34,claude,first,normal,negative,negative,3.7
34,claude,second,normal,neutral,disfavored,3.6
34,claude,second,short,negative,worst,3.1
34,claude,second,long,positive,best_biased,4.0
35,claude,first,normal,neutral,baseline,3.5
35,claude,first,short,neutral,short,3.2
35,claude,first,long,neutral,verbose,3.4
35,claude,first,normal,positive,positive,3.4
35,claude,first,normal,negative,negative,2.8
35,claude,second,normal,neutral,disfavored,3.4
35,claude,second,short,negative,worst,3.2
35,claude,second,long,positive,best_biased,3.4
36,claude,first,normal,neutral,baseline,3.3
36,claude,first,short,neutral,short,3.5
36,claude,first,long,neutral,verbose,4.1
36,claude,first,normal,positive,positive,3.6
36,claude,first,normal,negative,negative,3.3
36,claude,second,normal,neutral,disfavored,3.2
36,claude,second,short,negative,worst,3.1
36,claude,second,long,positive,best_biased,3.2
37,claude,first,normal,neutral,baseline,3.5
37,claude,first,short,neutral,short,3.4
37,claude,first,long,neutral,verbose,4.1
37,claude,first,normal,positive,positive,3.9
37,claude,first,normal,negative,negative,3.7
37,claude,second,normal,neutral,disfavored,3.2
37,claude,second,short,negative,worst,3.3
37,claude,second,long,positive,best_biased,3.2
38,claude,first,normal,neutral,baseline,3.6
38,claude,first,short,neutral,short,3.5
38,claude,first,long,neutral,verbose,3.4
38,claude,first,normal,positive,positive,4.2
38,claude,first,normal,negative,negative,3.6
38,claude,second,normal,neutral,disfavored,2.8
38,claude,second,short,negative,worst,3.3
38,claude,second,long,positive,best_biased,3.4
39,claude,first,normal,neutral,baseline,3.5
39,claude,first,short,neutral,short,3.5
39,claude,first,long,neutral,verbose,3.7
39,claude,first,normal,positive,positive,3.0
39,claude,first,normal,negative,negative,3.1
39,claude,second,normal,neutral,disfavored,3.6
39,claude,second,short,negative,worst,3.5
39,claude,second,long,positive,best_biased,4.1
40,claude,first,normal,neutral,baseline,4.0
40,claude,first,short,neutral,short,2.8
40,claude,first,long,neutral,verbose,3.8
40,claude,first,normal,positive,positive,3.0
40,claude,first,normal,negative,negative,3.9
40,claude,second,normal,neutral,disfavored,3.5
40,claude,second,short,negative,worst,2.8
40,claude,second,long,positive,best_biased,4.2
41,claude,first,normal,neutral,baseline,3.7
41,claude,first,short,neutral,short,2.8
41,claude,first,long,neutral,verbose,3.7
41,claude,first,normal,positive,positive,3.4
41,claude,first,normal,negative,negative,3.5
41,claude,second,normal,neutral,disfavored,3.2
41,claude,second,short,negative,worst,3.5
41,claude,second,long,positive,best_biased,3.1
42,claude,first,normal,neutral,baseline,3.6
42,claude,first,short,neutral,short,3.9
42,claude,first,long,neutral,verbose,3.3
42,claude,first,normal,positive,positive,3.6
42,claude,first,normal,negative,negative,3.5
42,claude,second,normal,neutral,disfavored,3.2
42,claude,second,short,negative,worst,3.3
42,claude,second,long,positive,best_biased,3.6
43,claude,first,normal,neutral,baseline,3.2
43,claude,first,short,neutral,short,3.9
43,claude,first,long,neutral,verbose,3.8
43,claude,first,normal,positive,positive,3.5
43,claude,first,normal,negative,negative,3.2
43,claude,second,normal,neutral,disfavored,3.1
43,claude,second,short,negative,worst,3.5
43,claude,second,long,positive,best_biased,3.5
44,claude,first,normal,neutral,baseline,3.6
44,claude,first,short,neutral,short,3.3
44,claude,first,long,neutral,verbose,3.8
44,claude,first,normal,positive,positive,3.5
44,claude,first,normal,negative,negative,3.6
44,claude,second,normal,neutral,disfavored,3.3
44,claude,second,short,negative,worst,3.4
44,claude,second,long,positive,best_biased,3.7
45,claude,first,normal,neutral,baseline,3.5
45,claude,first,short,neutral,short,3.1
45,claude,first,long,neutral,verbose,3.3
45,claude,first,normal,positive,positive,3.4
45,claude,first,normal,negative,negative,3.1
45,claude,second,normal,neutral,disfavored,3.6
45,claude,second,short,negative,worst,3.1
45,claude,second,long,positive,best_biased,4.0
46,claude,first,normal,neutral,baseline,4.2
46,claude,first,short,neutral,short,3.4
46,claude,first,long,neutral,verbose,3.1
46,claude,first,normal,positive,positive,3.5
46,claude,first,normal,negative,negative,3.4
46,claude,second,normal,neutral,disfavored,2.9
46,claude,second,short,negative,worst,3.0
46,claude,second,long,positive,best_biased,3.6
47,claude,first,normal,neutral,baseline,3.4
47,claude,first,short,neutral,short,3.1
47,claude,first,long,neutral,verbose,3.4
47,claude,first,normal,positive,positive,4.1
47,claude,first,normal,negative,negative,3.4
47,claude,second,normal,neutral,disfavored,3.1
47,claude,second,short,negative,worst,3.0
47,claude,second,long,positive,best_biased,3.8
48,claude,first,normal,neutral,baseline,3.3
48,claude,first,short,neutral,short,3.5
48,claude,first,long,neutral,verbose,3.8
48,claude,first,normal,positive,positive,3.8
48,claude,first,normal,negative,negative,3.8
48,claude,second,normal,neutral,disfavored,3.2
48,claude,second,short,negative,worst,3.5
48,claude,second,long,positive,best_biased,3.3
49,claude,first,normal,neutral,baseline,3.4
49,claude,first,short,neutral,short,3.7
49,claude,first,long,neutral,verbose,3.8
49,claude,first,normal,positive,positive,3.6
49,claude,first,normal,negative,negative,3.1
49,claude,second,normal,neutral,disfavored,3.5
49,claude,second,short,negative,worst,2.9
49,claude,second,long,positive,best_biased,3.3
50,claude,first,normal,neutral,baseline,3.3
50,claude,first,short,neutral,short,3.4
50,claude,first,long,neutral,verbose,3.0
50,claude,first,normal,positive,positive,3.7
50,claude,first,normal,negative,negative,3.5
50,claude,second,normal,neutral,disfavored,3.2
50,claude,second,short,negative,worst,3.4
50,claude,second,long,positive,best_biased,3.7
51,claude,first,normal,neutral,baseline,3.3
51,claude,first,short,neutral,short,3.2
51,claude,first,long,neutral,verbose,3.8
51,claude,first,normal,positive,positive,3.1
51,claude,first,normal,negative,negative,3.3
51,claude,second,normal,neutral,disfavored,3.2
51,claude,second,short,negative,worst,3.1
51,claude,second,long,positive,best_biased,3.6
52,claude,first,normal,neutral,baseline,3.5
52,claude,first,short,neutral,short,3.7
52,claude,first,long,neutral,verbose,3.7
52,claude,first,normal,positive,positive,3.5
52,claude,first,normal,negative,negative,3.1
52,claude,second,normal,neutral,disfavored,3.6
52,claude,second,short,negative,worst,3.3
52,claude,second,long,positive,best_biased,4.0
53,claude,first,normal,neutral,baseline,3.3
53,claude,first,short,neutral,short,3.4
53,claude,first,long,neutral,verbose,3.6
53,claude,first,normal,positive,positive,3.6
53,claude,first,normal,negative,negative,3.4
53,claude,second,normal,neutral,disfavored,2.9
53,claude,second,short,negative,worst,3.4
53,claude,second,long,positive,best_biased,3.7
54,claude,first,normal,neutral,baseline,3.8
54,claude,first,short,neutral,short,4.0
54,claude,first,long,neutral,verbose,3.5
54,claude,first,normal,positive,positive,3.6
54,claude,first,normal,negative,negative,3.4
54,claude,second,normal,neutral,disfavored,4.0
54,claude,second,short,negative,worst,2.6
54,claude,second,long,positive,best_biased,3.7
55,claude,first,normal,neutral,baseline,3.1
55,claude,first,short,neutral,short,2.6
55,claude,first,long,neutral,verbose,3.0
55,claude,first,normal,positive,positive,3.2
55,claude,first,normal,negative,negative,3.7
55,claude,second,normal,neutral,disfavored,3.1
55,claude,second,short,negative,worst,3.0
55,claude,second,long,positive,best_biased,3.2
56,claude,first,normal,neutral,baseline,3.7
56,claude,first,short,neutral,short,3.0
56,claude,first,long,neutral,verbose,4.0
56,claude,first,normal,positive,positive,3.3
56,claude,first,normal,negative,negative,3.2
56,claude,second,normal,neutral,disfavored,3.4
56,claude,second,short,negative,worst,3.1
56,claude,second,long,positive,best_biased,4.0
57,claude,first,normal,neutral,baseline,3.5
57,claude,first,short,neutral,short,3.0
57,claude,first,long,neutral,verbose,3.4
57,claude,first,normal,positive,positive,3.4
57,claude,first,normal,negative,negative,3.6
57,claude,second,normal,neutral,disfavored,3.5
57,claude,second,short,negative,worst,3.1
57,claude,second,long,positive,best_biased,3.8
58,claude,first,normal,neutral,baseline,3.3
58,claude,first,short,neutral,short,3.3
58,claude,first,long,neutral,verbose,3.6
58,claude,first,normal,positive,positive,4.0
58,claude,first,normal,negative,negative,3.4
58,claude,second,normal,neutral,disfavored,3.3
58,claude,second,short,negative,worst,2.8
58,claude,second,long,positive,best_biased,3.8
59,claude,first,normal,neutral,baseline,3.3
59,claude,first,short,neutral,short,3.5
59,claude,first,long,neutral,verbose,3.0
59,claude,first,normal,positive,positive,3.9
59,claude,first,normal,negative,negative,3.0
59,claude,second,normal,neutral,disfavored,3.1
59,claude,second,short,negative,worst,3.4
59,claude,second,long,positive,best_biased,3.1
60,claude,first,normal,neutral,baseline,3.5
60,claude,first,short,neutral,short,3.4
60,claude,first,long,neutral,verbose,3.3
60,claude,first,normal,positive,positive,4.0
60,claude,first,normal,negative,negative,3.9
60,claude,second,normal,neutral,disfavored,2.8
60,claude,second,short,negative,worst,2.7
60,claude,second,long,positive,best_biased,3.8
61,claude,first,normal,neutral,baseline,3.1
61,claude,first,short,neutral,short,3.3
61,claude,first,long,neutral,verbose,3.6
61,claude,first,normal,positive,positive,3.8
61,claude,first,normal,negative,negative,3.4
61,claude,second,normal,neutral,disfavored,3.4
61,claude,second,short,negative,worst,2.9
61,claude,second,long,positive,best_biased,3.9
62,claude,first,normal,neutral,baseline,3.4
62,claude,first,short,neutral,short,3.5
62,claude,first,long,neutral,verbose,3.4
62,claude,first,normal,positive,positive,3.6
62,claude,first,normal,negative,negative,3.4
62,claude,second,normal,neutral,disfavored,3.3
62,claude,second,short,negative,worst,2.8
62,claude,second,long,positive,best_biased,3.8
63,claude,first,normal,neutral,baseline,3.9
63,claude,first,short,neutral,short,3.4
63,claude,first,long,neutral,verbose,3.8
63,claude,first,normal,positive,positive,3.8
63,claude,first,normal,negative,negative,3.7
63,claude,second,normal,neutral,disfavored,3.5
63,claude,second,short,negative,worst,3.2
63,claude,second,long,positive,best_biased,3.8
64,claude,first,normal,neutral,baseline,3.5
64,claude,first,short,neutral,short,3.1
64,claude,first,long,neutral,verbose,3.6
64,claude,first,normal,positive,positive,3.0
64,claude,first,normal,negative,negative,3.4
64,claude,second,normal,neutral,disfavored,3.5
64,claude,second,short,negative,worst,3.5
64,claude,second,long,positive,best_biased,3.6
65,claude,first,normal,neutral,baseline,3.8
65,claude,first,short,neutral,short,3.4
65,claude,first,long,neutral,verbose,3.3
65,claude,first,normal,positive,positive,3.2
65,claude,first,normal,negative,negative,3.1
65,claude,second,normal,neutral,disfavored,3.0
65,claude,second,short,negative,worst,3.3
65,claude,second,long,positive,best_biased,3.5
66,claude,first,normal,neutral,baseline,3.7
66,claude,first,short,neutral,short,3.4
66,claude,first,long,neutral,verbose,3.9
66,claude,first,normal,positive,positive,3.9
66,claude,first,normal,negative,negative,3.2
66,claude,second,normal,neutral,disfavored,3.3
66,claude,second,short,negative,worst,3.0
66,claude,second,long,positive,best_biased,3.1
67,claude,first,normal,neutral,baseline,3.7
67,claude,first,short,neutral,short,3.7
67,claude,first,long,neutral,verbose,3.6
67,claude,first,normal,positive,positive,3.4
67,claude,first,normal,negative,negative,3.7
67,claude,second,normal,neutral,disfavored,2.7
67,claude,second,short,negative,worst,3.2
67,claude,second,long,positive,best_biased,3.6
68,claude,first,normal,neutral,baseline,3.3
68,claude,first,short,neutral,short,3.8
68,claude,first,long,neutral,verbose,3.9
68,claude,first,normal,positive,positive,3.5
68,claude,first,normal,negative,negative,3.4
68,claude,second,normal,neutral,disfavored,3.3
68,claude,second,short,negative,worst,3.0
68,claude,second,long,positive,best_biased,3.2
69,claude,first,normal,neutral,baseline,3.9
69,claude,first,short,neutral,short,3.7
69,claude,first,long,neutral,verbose,3.8
69,claude,first,normal,positive,positive,3.3
69,claude,first,normal,negative,negative,4.0
69,claude,second,normal,neutral,disfavored,4.0
69,claude,second,short,negative,worst,3.2
69,claude,second,long,positive,best_biased,3.3
70,claude,first,normal,neutral,baseline,3.2
70,claude,first,short,neutral,short,3.5
70,claude,first,long,neutral,verbose,3.3
70,claude,first,normal,positive,positive,3.6
70,claude,first,normal,negative,negative,3.7
70,claude,second,normal,neutral,disfavored,2.9
70,claude,second,short,negative,worst,3.7
70,claude,second,long,positive,best_biased,4.0
71,claude,first,normal,neutral,baseline,3.1
71,claude,first,short,neutral,short,2.9
71,claude,first,long,neutral,verbose,3.5
71,claude,first,normal,positive,positive,3.3
71,claude,first,normal,negative,negative,3.3
71,claude,second,normal,neutral,disfavored,2.6
71,claude,second,short,negative,worst,3.0
71,claude,second,long,positive,best_biased,4.1
72,claude,first,normal,neutral,baseline,3.2
72,claude,first,short,neutral,short,3.3
72,claude,first,long,neutral,verbose,3.1
72,claude,first,normal,positive,positive,3.8
72,claude,first,normal,negative,negative,3.4
72,claude,second,normal,neutral,disfavored,4.0
72,claude,second,short,negative,worst,3.2
72,claude,second,long,positive,best_biased,3.4
73,claude,first,normal,neutral,baseline,3.7
73,claude,first,short,neutral,short,3.2
73,claude,first,long,neutral,verbose,3.2
73,claude,first,normal,positive,positive,3.7
73,claude,first,normal,negative,negative,3.4
73,claude,second,normal,neutral,disfavored,3.4
73,claude,second,short,negative,worst,3.2
73,claude,second,long,positive,best_biased,3.4
74,claude,first,normal,neutral,baseline,3.6
74,claude,first,short,neutral,short,3.9
74,claude,first,long,neutral,verbose,3.3
74,claude,first,normal,positive,positive,4.1
74,claude,first,normal,negative,negative,3.3
74,claude,second,normal,neutral,disfavored,3.2
74,claude,second,short,negative,worst,3.8
74,claude,second,long,positive,best_biased,3.6
75,claude,first,normal,neutral,baseline,3.9
75,claude,first,short,neutral,short,3.6
75,claude,first,long,neutral,verbose,3.1
75,claude,first,normal,positive,positive,3.6
75,claude,first,normal,negative,negative,3.3
75,claude,second,normal,neutral,disfavored,3.0
75,claude,second,short,negative,worst,2.6
75,claude,second,long,positive,best_biased,3.6
76,claude,first,normal,neutral,baseline,3.7
76,claude,first,short,neutral,short,3.5
76,claude,first,long,neutral,verbose,3.5
76,claude,first,normal,positive,positive,3.3
76,claude,first,normal,negative,negative,3.1
76,claude,second,normal,neutral,disfavored,3.2
76,claude,second,short,negative,worst,2.8
76,claude,second,long,positive,best_biased,3.5
77,claude,first,normal,neutral,baseline,3.5
77,claude,first,short,neutral,short,3.1
77,claude,first,long,neutral,verbose,3.5
77,claude,first,normal,positive,positive,3.4
77,claude,first,normal,negative,negative,3.4
77,claude,second,normal,neutral,disfavored,3.5
77,claude,second,short,negative,worst,3.2
77,claude,second,long,positive,best_biased,3.7
78,claude,first,normal,neutral,baseline,3.0
78,claude,first,short,neutral,short,3.3
78,claude,first,long,neutral,verbose,3.7
78,claude,first,normal,positive,positive,3.8
78,claude,first,normal,negative,negative,2.9
78,claude,second,normal,neutral,disfavored,3.4
78,claude,second,short,negative,worst,3.5
78,claude,second,long,positive,best_biased,3.5
79,claude,first,normal,neutral,baseline,3.5
79,claude,first,short,neutral,short,3.5
79,claude,first,long,neutral,verbose,3.7
79,claude,first,normal,positive,positive,3.8
79,claude,first,normal,negative,negative,3.4
79,claude,second,normal,neutral,disfavored,3.4
79,claude,second,short,negative,worst,2.9
79,claude,second,long,positive,best_biased,3.5
80,claude,first,normal,neutral,baseline,3.9
80,claude,first,short,neutral,short,3.3
80,claude,first,long,neutral,verbose,3.5
80,claude,first,normal,positive,positive,3.4
80,claude,first,normal,negative,negative,3.7
80,claude,second,normal,neutral,disfavored,3.1
80,claude,second,short,negative,worst,3.4
80,claude,second,long,positive,best_biased,3.3
81,claude,first,normal,neutral,baseline,3.2
81,claude,first,short,neutral,short,3.4
81,claude,first,long,neutral,verbose,3.6
81,claude,first,normal,positive,positive,3.7
81,claude,first,normal,negative,negative,3.7
81,claude,second,normal,neutral,disfavored,3.3
81,claude,second,short,negative,worst,3.3
81,claude,second,long,positive,best_biased,3.3
82,claude,first,normal,neutral,baseline,3.9
82,claude,first,short,neutral,short,3.6
82,claude,first,long,neutral,verbose,3.7
82,claude,first,normal,positive,positive,3.6
82,claude,first,normal,negative,negative,3.2
82,claude,second,normal,neutral,disfavored,3.3
82,claude,second,short,negative,worst,3.3
82,claude,second,long,positive,best_biased,3.5
83,claude,first,normal,neutral,baseline,3.5
83,claude,first,short,neutral,short,3.0
83,claude,first,long,neutral,verbose,3.6
83,claude,first,normal,positive,positive,3.4
83,claude,first,normal,negative,negative,3.1
83,claude,second,normal,neutral,disfavored,3.3
83,claude,second,short,negative,worst,2.6
83,claude,second,long,positive,best_biased,3.8
84,claude,first,normal,neutral,baseline,3.8
84,claude,first,short,neutral,short,3.4
84,claude,first,long,neutral,verbose,3.3
84,claude,first,normal,positive,positive,3.3
