judge,item_id,condition,position,length,sentiment,score,repeat_num,raw_score,item_quality
claude,3,baseline,first,normal,neutral,4,1,3.9335,0.2285
claude,3,baseline,first,normal,neutral,4,2,3.9752,0.2285
claude,3,short_response,first,short,neutral,4,0,3.6674,0.2285
claude,3,short_response,first,short,neutral,4,1,3.8036,0.2285
claude,3,short_response,first,short,neutral,4,2,3.7598,0.2285
claude,3,verbose_response,first,long,neutral,4,0,4.1565,0.2285
claude,3,verbose_response,first,long,neutral,4,1,3.8332,0.2285
claude,3,verbose_response,first,long,neutral,4,2,3.6273,0.2285
claude,3,positive_tone,first,normal,positive,4,0,3.6208,0.2285
claude,3,positive_tone,first,normal,positive,4,1,3.5134,0.2285
claude,3,positive_tone,first,normal,positive,4,2,3.812,0.2285
claude,3,negative_tone,first,normal,negative,4,0,3.7037,0.2285
claude,3,negative_tone,first,normal,negative,4,1,3.5938,0.2285
claude,3,negative_tone,first,normal,negative,4,2,3.7218,0.2285
claude,3,disfavored_pos,second,normal,neutral,4,0,3.43,0.2285
claude,3,disfavored_pos,second,normal,neutral,4,1,3.8868,0.2285
claude,3,disfavored_pos,second,normal,neutral,4,2,3.7539,0.2285
claude,3,worst_case,second,short,negative,4,0,3.7194,0.2285
claude,3,worst_case,second,short,negative,4,1,4.0095,0.2285
claude,3,worst_case,second,short,negative,4,2,3.736,0.2285
claude,3,best_case_biased,second,long,positive,4,0,3.383,0.2285
claude,3,best_case_biased,second,long,positive,4,1,3.848,0.2285
claude,3,best_case_biased,second,long,positive,4,2,3.656,0.2285
claude,4,baseline,first,normal,neutral,4,0,3.3093,-0.0351
claude,4,baseline,first,normal,neutral,4,1,3.4363,-0.0351
claude,4,baseline,first,normal,neutral,4,2,3.3335,-0.0351
claude,4,short_response,first,short,neutral,3,0,3.2167,-0.0351
claude,4,short_response,first,short,neutral,4,1,3.5977,-0.0351
claude,4,short_response,first,short,neutral,4,2,3.7599,-0.0351
claude,4,verbose_response,first,long,neutral,3,0,3.1541,-0.0351
claude,4,verbose_response,first,long,neutral,4,1,3.4778,-0.0351
claude,4,verbose_response,first,long,neutral,4,2,3.2775,-0.0351
claude,4,positive_tone,first,normal,positive,4,0,3.4345,-0.0351
claude,4,positive_tone,first,normal,positive,4,1,3.4171,-0.0351
claude,4,positive_tone,first,normal,positive,4,2,3.3723,-0.0351
claude,4,negative_tone,first,normal,negative,4,0,3.5729,-0.0351
claude,4,negative_tone,first,normal,negative,4,1,3.4278,-0.0351
claude,4,negative_tone,first,normal,negative,4,2,3.6095,-0.0351
claude,4,disfavored_pos,second,normal,neutral,4,0,3.3366,-0.0351
claude,4,disfavored_pos,second,normal,neutral,4,1,3.3055,-0.0351
claude,4,disfavored_pos,second,normal,neutral,3,2,3.1951,-0.0351
claude,4,worst_case,second,short,negative,4,0,3.3449,-0.0351
claude,4,worst_case,second,short,negative,4,1,3.6047,-0.0351
claude,4,worst_case,second,short,negative,4,2,3.5551,-0.0351
claude,4,best_case_biased,second,long,positive,3,0,3.0968,-0.0351
claude,4,best_case_biased,second,long,positive,4,1,3.3067,-0.0351
claude,4,best_case_biased,second,long,positive,4,2,3.4339,-0.0351
claude,5,baseline,first,normal,neutral,3,0,3.2145,-0.0351
claude,5,baseline,first,normal,neutral,4,1,3.5464,-0.0351
claude,5,baseline,first,normal,neutral,4,2,3.3655,-0.0351
claude,5,short_response,first,short,neutral,4,0,3.539,-0.0351
claude,5,short_response,first,short,neutral,4,1,3.3189,-0.0351
claude,5,short_response,first,short,neutral,3,2,3.1471,-0.0351
claude,5,verbose_response,first,long,neutral,3,0,3.1163,-0.0351
claude,5,verbose_response,first,long,neutral,4,1,3.3928,-0.0351
claude,5,verbose_response,first,long,neutral,4,2,3.4277,-0.0351
claude,5,positive_tone,first,normal,positive,4,0,3.3657,-0.0351
claude,5,positive_tone,first,normal,positive,4,1,3.6202,-0.0351
claude,5,positive_tone,first,normal,positive,3,2,3.2407,-0.0351
claude,5,negative_tone,first,normal,negative,4,0,3.554,-0.0351
claude,5,negative_tone,first,normal,negative,4,1,3.3651,-0.0351
claude,5,negative_tone,first,normal,negative,4,2,3.4573,-0.0351
claude,5,disfavored_pos,second,normal,neutral,4,0,3.3527,-0.0351
claude,5,disfavored_pos,second,normal,neutral,3,1,3.2029,-0.0351
claude,5,disfavored_pos,second,normal,neutral,4,2,3.2814,-0.0351
claude,5,worst_case,second,short,negative,4,0,3.6536,-0.0351
claude,5,worst_case,second,short,negative,4,1,3.3449,-0.0351
claude,5,worst_case,second,short,negative,4,2,3.6203,-0.0351
claude,5,best_case_biased,second,long,positive,3,0,3.0671,-0.0351
claude,5,best_case_biased,second,long,positive,4,1,3.3907,-0.0351
claude,5,best_case_biased,second,long,positive,4,2,3.5685,-0.0351
claude,6,baseline,first,normal,neutral,4,0,3.3661,0.2369
claude,6,baseline,first,normal,neutral,4,1,3.6173,0.2369
claude,6,baseline,first,normal,neutral,4,2,3.8234,0.2369
claude,6,short_response,first,short,neutral,4,0,3.6834,0.2369
claude,6,short_response,first,short,neutral,4,1,3.7781,0.2369
claude,6,short_response,first,short,neutral,4,2,3.6172,0.2369
claude,6,verbose_response,first,long,neutral,4,0,3.6712,0.2369
claude,6,verbose_response,first,long,neutral,4,1,3.6312,0.2369
claude,6,verbose_response,first,long,neutral,4,2,3.8496,0.2369
claude,6,positive_tone,first,normal,positive,4,0,3.8289,0.2369
claude,6,positive_tone,first,normal,positive,4,1,3.8426,0.2369
claude,6,positive_tone,first,normal,positive,4,2,3.7189,0.2369
claude,6,negative_tone,first,normal,negative,4,0,3.7564,0.2369
claude,6,negative_tone,first,normal,negative,4,1,3.7655,0.2369
claude,6,negative_tone,first,normal,negative,4,2,3.902,0.2369
claude,6,disfavored_pos,second,normal,neutral,4,0,3.5474,0.2369
claude,6,disfavored_pos,second,normal,neutral,4,1,3.6647,0.2369
claude,6,disfavored_pos,second,normal,neutral,4,2,3.9593,0.2369
claude,6,worst_case,second,short,negative,4,0,3.8993,0.2369
claude,6,worst_case,second,short,negative,4,1,3.6658,0.2369
claude,6,worst_case,second,short,negative,4,2,3.9636,0.2369
claude,6,best_case_biased,second,long,positive,4,0,3.4798,0.2369
claude,6,best_case_biased,second,long,positive,3,1,3.1619,0.2369
claude,6,best_case_biased,second,long,positive,4,2,3.3628,0.2369
claude,7,baseline,first,normal,neutral,4,0,3.3345,0.1151
claude,7,baseline,first,normal,neutral,4,1,3.5624,0.1151
claude,7,baseline,first,normal,neutral,4,2,3.6179,0.1151
claude,7,short_response,first,short,neutral,4,0,3.8717,0.1151
claude,7,short_response,first,short,neutral,4,1,3.6491,0.1151
claude,7,short_response,first,short,neutral,4,2,3.559,0.1151
claude,7,verbose_response,first,long,neutral,4,0,3.672,0.1151
claude,7,verbose_response,first,long,neutral,3,1,3.1703,0.1151
claude,7,verbose_response,first,long,neutral,4,2,3.574,0.1151
claude,7,positive_tone,first,normal,positive,4,0,3.7923,0.1151
claude,7,positive_tone,first,normal,positive,4,1,3.4211,0.1151
claude,7,positive_tone,first,normal,positive,4,2,3.8538,0.1151
claude,7,negative_tone,first,normal,negative,4,0,3.771,0.1151
claude,7,negative_tone,first,normal,negative,4,1,3.6466,0.1151
claude,7,negative_tone,first,normal,negative,4,2,3.8195,0.1151
claude,7,disfavored_pos,second,normal,neutral,4,0,3.8698,0.1151
claude,7,disfavored_pos,second,normal,neutral,4,1,3.5251,0.1151
claude,7,disfavored_pos,second,normal,neutral,4,2,3.5361,0.1151
claude,7,worst_case,second,short,negative,4,0,3.518,0.1151
claude,7,worst_case,second,short,negative,4,1,3.4419,0.1151
claude,7,worst_case,second,short,negative,4,2,3.7695,0.1151
claude,7,best_case_biased,second,long,positive,4,0,3.2707,0.1151
claude,7,best_case_biased,second,long,positive,4,1,3.4516,0.1151
claude,7,best_case_biased,second,long,positive,4,2,3.3445,0.1151
claude,8,baseline,first,normal,neutral,4,0,3.5014,-0.0704
claude,8,baseline,first,normal,neutral,4,1,3.4796,-0.0704
claude,8,baseline,first,normal,neutral,4,2,3.5852,-0.0704
claude,8,short_response,first,short,neutral,4,0,3.3254,-0.0704
claude,8,short_response,first,short,neutral,4,1,3.365,-0.0704
claude,8,short_response,first,short,neutral,3,2,3.2481,-0.0704
claude,8,verbose_response,first,long,neutral,4,0,3.2763,-0.0704
claude,8,verbose_response,first,long,neutral,4,1,3.4118,-0.0704
claude,8,verbose_response,first,long,neutral,4,2,3.4745,-0.0704
claude,8,positive_tone,first,normal,positive,4,0,3.3274,-0.0704
claude,8,positive_tone,first,normal,positive,4,1,3.6231,-0.0704
claude,8,positive_tone,first,normal,positive,4,2,3.7033,-0.0704
claude,8,negative_tone,first,normal,negative,4,0,3.5978,-0.0704
claude,8,negative_tone,first,normal,negative,4,1,3.8393,-0.0704
claude,8,negative_tone,first,normal,negative,4,2,3.4019,-0.0704
claude,8,disfavored_pos,second,normal,neutral,3,0,3.1042,-0.0704
claude,8,disfavored_pos,second,normal,neutral,3,1,3.0161,-0.0704
claude,8,disfavored_pos,second,normal,neutral,4,2,3.5564,-0.0704
claude,8,worst_case,second,short,negative,4,0,3.5497,-0.0704
claude,8,worst_case,second,short,negative,4,1,3.4112,-0.0704
claude,8,worst_case,second,short,negative,4,2,3.4767,-0.0704
claude,8,best_case_biased,second,long,positive,3,0,3.0326,-0.0704
claude,8,best_case_biased,second,long,positive,4,1,3.729,-0.0704
claude,8,best_case_biased,second,long,positive,4,2,3.2773,-0.0704
claude,9,baseline,first,normal,neutral,4,0,3.5978,0.0814
claude,9,baseline,first,normal,neutral,4,1,3.6902,0.0814
claude,9,baseline,first,normal,neutral,4,2,3.6535,0.0814
claude,9,short_response,first,short,neutral,4,0,3.5983,0.0814
claude,9,short_response,first,short,neutral,4,1,3.431,0.0814
claude,9,short_response,first,short,neutral,4,2,3.6392,0.0814
claude,9,verbose_response,first,long,neutral,4,0,3.8119,0.0814
claude,9,verbose_response,first,long,neutral,4,1,3.7234,0.0814
claude,9,verbose_response,first,long,neutral,4,2,3.7643,0.0814
claude,9,positive_tone,first,normal,positive,4,0,3.547,0.0814
claude,9,positive_tone,first,normal,positive,4,1,3.4681,0.0814
claude,9,positive_tone,first,normal,positive,4,2,3.6106,0.0814
claude,9,negative_tone,first,normal,negative,4,0,3.6906,0.0814
claude,9,negative_tone,first,normal,negative,4,1,3.8619,0.0814
claude,9,negative_tone,first,normal,negative,4,2,3.4021,0.0814
claude,9,disfavored_pos,second,normal,neutral,4,0,3.7138,0.0814
claude,9,disfavored_pos,second,normal,neutral,4,1,3.4353,0.0814
claude,9,disfavored_pos,second,normal,neutral,4,2,3.3909,0.0814
claude,9,worst_case,second,short,negative,4,0,3.3765,0.0814
claude,9,worst_case,second,short,negative,4,1,3.2512,0.0814
claude,9,worst_case,second,short,negative,4,2,3.7344,0.0814
claude,9,best_case_biased,second,long,positive,4,0,3.4182,0.0814
claude,9,best_case_biased,second,long,positive,3,1,3.1523,0.0814
claude,9,best_case_biased,second,long,positive,3,2,3.1513,0.0814
claude,10,baseline,first,normal,neutral,4,0,3.3801,-0.0695
claude,10,baseline,first,normal,neutral,4,1,3.6808,-0.0695
claude,10,baseline,first,normal,neutral,4,2,3.3915,-0.0695
claude,10,short_response,first,short,neutral,3,0,3.1625,-0.0695
claude,10,short_response,first,short,neutral,4,1,3.3699,-0.0695
claude,10,short_response,first,short,neutral,4,2,3.3655,-0.0695
claude,10,verbose_response,first,long,neutral,3,0,2.9055,-0.0695
claude,10,verbose_response,first,long,neutral,4,1,3.3415,-0.0695
claude,10,verbose_response,first,long,neutral,4,2,3.3124,-0.0695
claude,10,positive_tone,first,normal,positive,4,0,3.5954,-0.0695
claude,10,positive_tone,first,normal,positive,4,1,3.7856,-0.0695
claude,10,positive_tone,first,normal,positive,4,2,3.6664,-0.0695
claude,10,negative_tone,first,normal,negative,4,0,3.4861,-0.0695
claude,10,negative_tone,first,normal,negative,4,1,3.3479,-0.0695
claude,10,negative_tone,first,normal,negative,4,2,3.9551,-0.0695
claude,10,disfavored_pos,second,normal,neutral,4,0,3.3203,-0.0695
claude,10,disfavored_pos,second,normal,neutral,4,1,3.3128,-0.0695
claude,10,disfavored_pos,second,normal,neutral,4,2,3.3065,-0.0695
claude,10,worst_case,second,short,negative,4,0,3.4616,-0.0695
claude,10,worst_case,second,short,negative,4,1,3.3948,-0.0695
claude,10,worst_case,second,short,negative,4,2,3.3111,-0.0695
claude,10,best_case_biased,second,long,positive,3,0,3.1463,-0.0695
claude,10,best_case_biased,second,long,positive,3,1,3.2466,-0.0695
claude,10,best_case_biased,second,long,positive,3,2,3.147,-0.0695
claude,11,baseline,first,normal,neutral,4,0,3.3232,-0.0699
claude,11,baseline,first,normal,neutral,4,1,3.4461,-0.0699
claude,11,baseline,first,normal,neutral,4,2,3.3919,-0.0699
claude,11,short_response,first,short,neutral,4,0,3.6583,-0.0699
claude,11,short_response,first,short,neutral,3,1,2.9727,-0.0699
claude,11,short_response,first,short,neutral,4,2,3.5902,-0.0699
claude,11,verbose_response,first,long,neutral,4,0,3.5557,-0.0699
claude,11,verbose_response,first,long,neutral,3,1,3.008,-0.0699
claude,11,verbose_response,first,long,neutral,4,2,3.2936,-0.0699
claude,11,positive_tone,first,normal,positive,4,0,3.4189,-0.0699
claude,11,positive_tone,first,normal,positive,3,1,3.2479,-0.0699
claude,11,positive_tone,first,normal,positive,4,2,3.3518,-0.0699
claude,11,negative_tone,first,normal,negative,4,0,3.3469,-0.0699
claude,11,negative_tone,first,normal,negative,4,1,3.8193,-0.0699
claude,11,negative_tone,first,normal,negative,4,2,3.6845,-0.0699
claude,11,disfavored_pos,second,normal,neutral,4,0,3.5199,-0.0699
claude,11,disfavored_pos,second,normal,neutral,4,1,3.4292,-0.0699
claude,11,disfavored_pos,second,normal,neutral,3,2,3.1238,-0.0699
claude,11,worst_case,second,short,negative,4,0,3.3204,-0.0699
claude,11,worst_case,second,short,negative,4,1,3.5181,-0.0699
claude,11,worst_case,second,short,negative,3,2,3.1843,-0.0699
claude,11,best_case_biased,second,long,positive,4,0,3.3917,-0.0699
claude,11,best_case_biased,second,long,positive,3,1,3.2058,-0.0699
claude,11,best_case_biased,second,long,positive,3,2,3.1796,-0.0699
claude,12,baseline,first,normal,neutral,4,0,3.6429,0.0363
claude,12,baseline,first,normal,neutral,4,1,3.6029,0.0363
claude,12,baseline,first,normal,neutral,4,2,3.4821,0.0363
claude,12,short_response,first,short,neutral,4,0,3.7076,0.0363
claude,12,short_response,first,short,neutral,4,1,3.3379,0.0363
claude,12,short_response,first,short,neutral,4,2,3.6179,0.0363
claude,12,verbose_response,first,long,neutral,4,0,3.5542,0.0363
claude,12,verbose_response,first,long,neutral,4,1,3.4052,0.0363
claude,12,verbose_response,first,long,neutral,4,2,3.5101,0.0363
claude,12,positive_tone,first,normal,positive,4,0,3.3799,0.0363
claude,12,positive_tone,first,normal,positive,4,1,3.7388,0.0363
claude,12,positive_tone,first,normal,positive,4,2,3.5558,0.0363
claude,12,negative_tone,first,normal,negative,4,0,3.55,0.0363
claude,12,negative_tone,first,normal,negative,4,1,3.8094,0.0363
claude,12,negative_tone,first,normal,negative,4,2,3.5201,0.0363
claude,12,disfavored_pos,second,normal,neutral,3,0,3.1839,0.0363
claude,12,disfavored_pos,second,normal,neutral,3,1,3.1595,0.0363
claude,12,disfavored_pos,second,normal,neutral,4,2,3.5163,0.0363
claude,12,worst_case,second,short,negative,4,0,3.2791,0.0363
claude,12,worst_case,second,short,negative,4,1,3.871,0.0363
claude,12,worst_case,second,short,negative,3,2,3.1228,0.0363
claude,12,best_case_biased,second,long,positive,4,0,3.6896,0.0363
claude,12,best_case_biased,second,long,positive,4,1,3.3999,0.0363
claude,12,best_case_biased,second,long,positive,4,2,3.3399,0.0363
claude,13,baseline,first,normal,neutral,3,0,3.1313,-0.287
claude,13,baseline,first,normal,neutral,4,1,3.2729,-0.287
claude,13,baseline,first,normal,neutral,3,2,3.2074,-0.287
claude,13,short_response,first,short,neutral,4,0,3.3751,-0.287
claude,13,short_response,first,short,neutral,3,1,3.2119,-0.287
claude,13,short_response,first,short,neutral,3,2,3.2178,-0.287
claude,13,verbose_response,first,long,neutral,3,0,3.073,-0.287
claude,13,verbose_response,first,long,neutral,3,1,3.1236,-0.287
claude,13,verbose_response,first,long,neutral,3,2,3.1838,-0.287
claude,13,positive_tone,first,normal,positive,3,0,2.9808,-0.287
claude,13,positive_tone,first,normal,positive,3,1,3.0406,-0.287
claude,13,positive_tone,first,normal,positive,4,2,3.3856,-0.287
claude,13,negative_tone,first,normal,negative,4,0,3.3412,-0.287
claude,13,negative_tone,first,normal,negative,4,1,3.2827,-0.287
claude,13,negative_tone,first,normal,negative,4,2,3.316,-0.287
claude,13,disfavored_pos,second,normal,neutral,3,0,3.1504,-0.287
claude,13,disfavored_pos,second,normal,neutral,3,1,3.0039,-0.287
claude,13,disfavored_pos,second,normal,neutral,3,2,2.9646,-0.287
claude,13,worst_case,second,short,negative,3,0,3.2437,-0.287
claude,13,worst_case,second,short,negative,3,1,3.0147,-0.287
claude,13,worst_case,second,short,negative,4,2,3.2851,-0.287
claude,13,best_case_biased,second,long,positive,2,0,2.7035,-0.287
claude,13,best_case_biased,second,long,positive,3,1,3.2362,-0.287
claude,13,best_case_biased,second,long,positive,3,2,3.1277,-0.287
claude,14,baseline,first,normal,neutral,4,0,3.2797,-0.2587
claude,14,baseline,first,normal,neutral,4,1,3.3887,-0.2587
claude,14,baseline,first,normal,neutral,4,2,3.4911,-0.2587
claude,14,short_response,first,short,neutral,4,0,3.3886,-0.2587
claude,14,short_response,first,short,neutral,3,1,2.9175,-0.2587
claude,14,short_response,first,short,neutral,3,2,3.0101,-0.2587
claude,14,verbose_response,first,long,neutral,3,0,3.0582,-0.2587
claude,14,verbose_response,first,long,neutral,3,1,3.1656,-0.2587
claude,14,verbose_response,first,long,neutral,3,2,3.2467,-0.2587
claude,14,positive_tone,first,normal,positive,3,0,3.1715,-0.2587
claude,14,positive_tone,first,normal,positive,4,1,3.3221,-0.2587
claude,14,positive_tone,first,normal,positive,3,2,3.1666,-0.2587
claude,14,negative_tone,first,normal,negative,3,0,3.2404,-0.2587
claude,14,negative_tone,first,normal,negative,3,1,3.1092,-0.2587
claude,14,negative_tone,first,normal,negative,3,2,3.1889,-0.2587
claude,14,disfavored_pos,second,normal,neutral,3,0,2.8982,-0.2587
claude,14,disfavored_pos,second,normal,neutral,3,1,2.9602,-0.2587
claude,14,disfavored_pos,second,normal,neutral,4,2,3.2951,-0.2587
claude,14,worst_case,second,short,negative,3,0,3.0486,-0.2587
claude,14,worst_case,second,short,negative,4,1,3.7471,-0.2587
claude,14,worst_case,second,short,negative,4,2,3.33,-0.2587
claude,14,best_case_biased,second,long,positive,3,0,3.0998,-0.2587
claude,14,best_case_biased,second,long,positive,3,1,2.8964,-0.2587
claude,14,best_case_biased,second,long,positive,3,2,3.2003,-0.2587
claude,15,baseline,first,normal,neutral,4,0,3.3293,-0.0843
claude,15,baseline,first,normal,neutral,4,1,3.434,-0.0843
claude,15,baseline,first,normal,neutral,4,2,3.7997,-0.0843
claude,15,short_response,first,short,neutral,4,0,3.3798,-0.0843
claude,15,short_response,first,short,neutral,4,1,3.5853,-0.0843
claude,15,short_response,first,short,neutral,4,2,3.2796,-0.0843
claude,15,verbose_response,first,long,neutral,4,0,3.3299,-0.0843
claude,15,verbose_response,first,long,neutral,4,1,3.6278,-0.0843
claude,15,verbose_response,first,long,neutral,3,2,3.2322,-0.0843
claude,15,positive_tone,first,normal,positive,4,0,3.7647,-0.0843
claude,15,positive_tone,first,normal,positive,4,1,3.5824,-0.0843
claude,15,positive_tone,first,normal,positive,4,2,3.3728,-0.0843
claude,15,negative_tone,first,normal,negative,4,0,3.62,-0.0843
claude,15,negative_tone,first,normal,negative,4,1,3.6761,-0.0843
claude,15,negative_tone,first,normal,negative,4,2,3.6183,-0.0843
claude,15,disfavored_pos,second,normal,neutral,3,0,3.0366,-0.0843
claude,15,disfavored_pos,second,normal,neutral,3,1,3.1757,-0.0843
claude,15,disfavored_pos,second,normal,neutral,4,2,3.2548,-0.0843
claude,15,worst_case,second,short,negative,4,0,3.3936,-0.0843
claude,15,worst_case,second,short,negative,4,1,3.5292,-0.0843
claude,15,worst_case,second,short,negative,4,2,3.4428,-0.0843
claude,15,best_case_biased,second,long,positive,3,0,2.9778,-0.0843
claude,15,best_case_biased,second,long,positive,4,1,3.3123,-0.0843
claude,15,best_case_biased,second,long,positive,4,2,3.3572,-0.0843
claude,16,baseline,first,normal,neutral,4,0,3.432,-0.1519
claude,16,baseline,first,normal,neutral,4,1,3.5102,-0.1519
claude,16,baseline,first,normal,neutral,4,2,3.4732,-0.1519
claude,16,short_response,first,short,neutral,4,0,3.4038,-0.1519
claude,16,short_response,first,short,neutral,4,1,3.3165,-0.1519
claude,16,short_response,first,short,neutral,3,2,3.054,-0.1519
claude,16,verbose_response,first,long,neutral,4,0,3.339,-0.1519
claude,16,verbose_response,first,long,neutral,4,1,3.3023,-0.1519
claude,16,verbose_response,first,long,neutral,4,2,3.3129,-0.1519
claude,16,positive_tone,first,normal,positive,3,0,3.1874,-0.1519
claude,16,positive_tone,first,normal,positive,3,1,3.2197,-0.1519
claude,16,positive_tone,first,normal,positive,4,2,3.5718,-0.1519
claude,16,negative_tone,first,normal,negative,4,0,3.4415,-0.1519
claude,16,negative_tone,first,normal,negative,4,1,3.5605,-0.1519
claude,16,negative_tone,first,normal,negative,4,2,3.4527,-0.1519
claude,16,disfavored_pos,second,normal,neutral,3,0,3.233,-0.1519
claude,16,disfavored_pos,second,normal,neutral,4,1,3.3829,-0.1519
claude,16,disfavored_pos,second,normal,neutral,3,2,3.1429,-0.1519
claude,16,worst_case,second,short,negative,4,0,3.3593,-0.1519
claude,16,worst_case,second,short,negative,4,1,3.2504,-0.1519
claude,16,worst_case,second,short,negative,4,2,3.2558,-0.1519
claude,16,best_case_biased,second,long,positive,3,0,3.1103,-0.1519
claude,16,best_case_biased,second,long,positive,3,1,3.2139,-0.1519
claude,16,best_case_biased,second,long,positive,3,2,3.0772,-0.1519
claude,17,baseline,first,normal,neutral,4,0,3.7355,0.0471
claude,17,baseline,first,normal,neutral,4,1,3.4129,0.0471
claude,17,baseline,first,normal,neutral,4,2,3.5191,0.0471
claude,17,short_response,first,short,neutral,4,0,3.4546,0.0471
claude,17,short_response,first,short,neutral,4,1,3.7659,0.0471
claude,17,short_response,first,short,neutral,4,2,3.5596,0.0471
claude,17,verbose_response,first,long,neutral,4,0,3.6374,0.0471
claude,17,verbose_response,first,long,neutral,3,1,3.222,0.0471
claude,17,verbose_response,first,long,neutral,4,2,3.5112,0.0471
claude,17,positive_tone,first,normal,positive,4,0,3.7439,0.0471
claude,17,positive_tone,first,normal,positive,4,1,3.6107,0.0471
claude,17,positive_tone,first,normal,positive,4,2,3.7729,0.0471
